Game,Draw Date,Winning Combination,Jackpot (PHP),Winners
4D Lotto,2018-12-10,0-8-2-9,"10,000.00",62
Ultra Lotto 6/58,2018-12-09,51-21-12-36-55-30,"49,500,000.00",0
Super Lotto 6/49,2018-12-09,05-07-36-44-12-17,"20,825,347.00",0
Lotto 6/42,2018-12-08,08-15-13-29-07-40,"6,767,233.00",0
Grand Lotto 6/55,2018-12-08,55-10-46-37-07-22,"131,116,556.00",0
6D Lotto,2018-12-08,2-2-4-3-1-5,"3,120,788.06",0
Ultra Lotto 6/58,2018-12-07,17-37-11-08-52-48,"49,500,000.00",0
Mega Lotto 6/45,2018-12-07,25-30-24-28-05-38,"8,910,000.00",0
4D Lotto,2018-12-07,3-8-0-9,"167,640.00",4
Super Lotto 6/49,2018-12-06,44-01-45-25-19-42,"18,041,883.00",0
Lotto 6/42,2018-12-06,24-20-05-41-16-34,"5,940,000.00",0
6D Lotto,2018-12-06,6-2-8-5-4-1,"3,039,325.44",0
Mega Lotto 6/45,2018-12-05,07-24-13-03-27-40,"8,910,000.00",0
Grand Lotto 6/55,2018-12-05,47-14-46-25-53-07,"125,361,196.00",0
4D Lotto,2018-12-05,6-8-9-0,"45,573.00",18
Ultra Lotto 6/58,2018-12-04,07-01-25-13-11-38,"49,500,000.00",0
Super Lotto 6/49,2018-12-04,27-19-45-24-41-29,"15,840,000.00",0
Lotto 6/42,2018-12-04,23-15-26-32-08-17,"5,940,000.00",0
6D Lotto,2018-12-04,4-8-0-2-6-2,"2,693,903.10",0
Mega Lotto 6/45,2018-12-03,06-10-18-02-31-26,"8,910,000.00",1
Grand Lotto 6/55,2018-12-03,15-55-02-30-52-06,"119,972,936.00",0
4D Lotto,2018-12-03,9-2-1-7,"17,443.00",12
Ultra Lotto 6/58,2018-12-02,31-14-37-53-07-36,"49,500,000.00",0
Super Lotto 6/49,2018-12-02,36-15-29-21-17-42,"15,840,000.00",0
Lotto 6/42,2018-12-01,15-26-11-23-24-01,"22,018,008.00",1
Grand Lotto 6/55,2018-12-01,46-54-36-08-30-44,"114,796,584.00",0
6D Lotto,2018-12-01,5-3-0-5-1-0,"2,375,708.94",0
Ultra Lotto 6/58,2018-11-30,50-14-21-22-20-24,"49,500,000.00",0
Mega Lotto 6/45,2018-11-30,32-22-06-07-02-41,"76,941,062.00",1
4D Lotto,2018-11-30,1-9-6-8,"10,000.00",126
Super Lotto 6/49,2018-11-29,30-01-36-21-13-38,"15,840,000.00",0
Lotto 6/42,2018-11-29,19-41-04-13-05-38,"19,189,361.00",0
6D Lotto,2018-11-29,4-9-5-6-5-2,"2,325,708.94",0
Mega Lotto 6/45,2018-11-28,03-01-04-35-18-08,"72,438,031.00",0
Grand Lotto 6/55,2018-11-28,43-15-07-50-31-28,"109,731,108.00",0
4D Lotto,2018-11-28,0-0-1-2,"17,019.00",17
Ultra Lotto 6/58,2018-11-27,10-06-56-15-25-34,"49,500,000.00",0
Super Lotto 6/49,2018-11-27,30-01-15-17-27-47,"15,840,000.00",0
Lotto 6/42,2018-11-27,06-39-20-10-01-26,"16,212,549.00",0
6D Lotto,2018-11-27,4-9-6-2-8-8,"1,953,523.70",0
Mega Lotto 6/45,2018-11-26,21-43-09-23-08-35,"68,516,115.00",0
Grand Lotto 6/55,2018-11-26,31-55-26-41-33-04,"105,155,732.00",0
4D Lotto,2018-11-26,4-8-4-0,"62,376.00",12
Ultra Lotto 6/58,2018-11-25,30-39-48-11-13-26,"49,500,000.00",0
Super Lotto 6/49,2018-11-25,23-28-14-30-32-16,"15,840,000.00",0
Lotto 6/42,2018-11-24,25-32-19-29-17-28,"13,674,981.00",0
Grand Lotto 6/55,2018-11-24,22-24-39-27-01-31,"100,791,060.00",0
6D Lotto,2018-11-24,0-7-5-7-8-6,"1,603,796.18",0
Ultra Lotto 6/58,2018-11-23,36-25-06-18-54-26,"49,500,000.00",0
Mega Lotto 6/45,2018-11-23,03-11-31-22-29-08,"64,558,154.00",0
4D Lotto,2018-11-23,3-0-0-8,"16,338.00",35
Super Lotto 6/49,2018-11-22,42-18-14-06-38-22,"15,840,000.00",0
Lotto 6/42,2018-11-22,16-20-34-01-40-41,"11,148,941.00",0
6D Lotto,2018-11-22,4-9-3-3-5-8,"1,172,701.62",0
Mega Lotto 6/45,2018-11-21,23-11-25-37-12-44,"60,265,510.00",0
Grand Lotto 6/55,2018-11-21,12-54-51-06-09-40,"96,340,888.00",0
4D Lotto,2018-11-21,8-2-1-3,"18,171.00",27
Ultra Lotto 6/58,2018-11-20,21-44-28-55-16-29,"49,500,000.00",0
Super Lotto 6/49,2018-11-20,26-24-15-14-18-13,"68,415,891.00",1
Lotto 6/42,2018-11-20,20-28-30-23-16-29,"8,732,244.00",0
6D Lotto,2018-11-20,8-3-3-9-9-6,"905,007.38",0
Mega Lotto 6/45,2018-11-19,08-27-32-02-04-18,"56,743,161.00",0
Grand Lotto 6/55,2018-11-19,27-04-30-47-52-45,"92,760,260.00",0
4D Lotto,2018-11-19,4-0-3-5,"34,720.00",21
Ultra Lotto 6/58,2018-11-18,37-39-05-35-41-12,"49,500,000.00",0
Super Lotto 6/49,2018-11-18,04-27-32-01-20-43,"65,059,106.00",0
Lotto 6/42,2018-11-17,41-05-32-29-24-27,"6,673,024.00",0
Grand Lotto 6/55,2018-11-17,05-10-38-52-22-54,"89,192,894.00",0
6D Lotto,2018-11-17,3-9-4-3-0-0,"619,131.84",0
Ultra Lotto 6/58,2018-11-16,13-12-01-41-21-45,"49,500,000.00",1
Mega Lotto 6/45,2018-11-16,15-23-24-13-34-06,"53,094,057.00",0
4D Lotto,2018-11-16,7-6-0-2,"65,580.00",12
Super Lotto 6/49,2018-11-15,28-21-35-23-13-38,"60,959,615.00",0
Lotto 6/42,2018-11-15,18-33-10-38-32-25,"5,940,000.00",0
6D Lotto,2018-11-15,1-8-0-2-8-3,"322,655.16",0
Mega Lotto 6/45,2018-11-14,23-06-30-24-26-05,"49,104,452.00",0
Grand Lotto 6/55,2018-11-14,48-02-37-53-55-06,"85,051,843.00",0
4D Lotto,2018-11-14,7-1-6-6,"31,417.00",24
Ultra Lotto 6/58,2018-11-13,23-14-18-16-30-37,"49,500,000.00",0
Super Lotto 6/49,2018-11-13,41-29-10-45-36-33,"57,283,590.00",0
Lotto 6/42,2018-11-13,38-09-18-25-03-39,"5,940,000.00",0
6D Lotto,2018-11-13,1-3-6-2-5-5,"150,000.00",0
Mega Lotto 6/45,2018-11-12,04-37-12-42-20-07,"45,829,227.00",0
Grand Lotto 6/55,2018-11-12,35-36-51-01-55-03,"81,615,395.00",0
4D Lotto,2018-11-12,4-9-6-2,"25,206.00",29
Ultra Lotto 6/58,2018-11-11,51-46-24-55-17-27,"49,500,000.00",0
Super Lotto 6/49,2018-11-11,01-21-24-49-44-17,"54,114,458.00",0
Lotto 6/42,2018-11-10,12-02-32-28-22-42,"5,940,000.00",4
Grand Lotto 6/55,2018-11-10,09-11-36-50-48-15,"78,208,519.00",0
6D Lotto,2018-11-10,1-9-3-9-7-7,"852,836.23",3
Ultra Lotto 6/58,2018-11-09,36-56-49-34-42-45,"49,500,000.00",0
Mega Lotto 6/45,2018-11-09,04-45-39-23-40-03,"42,494,804.00",0
4D Lotto,2018-11-09,9-7-0-8,"20,801.00",28
Super Lotto 6/49,2018-11-08,46-25-40-05-12-24,"50,299,053.00",0
Lotto 6/42,2018-11-08,10-18-27-37-26-14,"5,940,000.00",0
6D Lotto,2018-11-08,7-7-7-1-5-6,"2,488,962.40",0
Mega Lotto 6/45,2018-11-07,29-05-16-30-36-33,"38,819,758.00",0
Grand Lotto 6/55,2018-11-07,13-16-33-47-30-01,"74,257,517.00",0
4D Lotto,2018-11-07,7-1-8-7,"36,160.00",21
Ultra Lotto 6/58,2018-11-06,43-58-21-54-23-22,"49,500,000.00",0
Super Lotto 6/49,2018-11-06,44-21-47-34-06-40,"46,687,007.00",0
Lotto 6/42,2018-11-06,19-02-31-10-08-22,"31,846,491.00",1
6D Lotto,2018-11-06,4-2-8-3-2-7,"2,291,489.80",0
Mega Lotto 6/45,2018-11-05,02-38-26-41-01-31,"35,549,150.00",0
Grand Lotto 6/55,2018-11-05,33-30-41-28-38-19,"70,764,987.00",0
4D Lotto,2018-11-05,5-3-5-1,"35,524.00",22
Ultra Lotto 6/58,2018-11-04,35-42-06-53-03-17,"49,500,000.00",0
Super Lotto 6/49,2018-11-04,17-07-47-32-30-38,"43,977,543.00",0
Lotto 6/42,2018-11-03,19-41-08-07-29-25,"28,706,100.00",0
Grand Lotto 6/55,2018-11-03,50-03-54-44-20-18,"67,408,918.00",0
6D Lotto,2018-11-03,2-9-4-8-9-7,"1,952,097.52",0
Ultra Lotto 6/58,2018-11-02,27-05-54-25-44-16,"49,500,000.00",0
Mega Lotto 6/45,2018-11-02,01-33-38-27-35-20,"32,287,508.00",0
4D Lotto,2018-11-02,4-0-5-6,"35,914.00",17
Super Lotto 6/49,2018-11-01,28-34-39-23-40-11,"40,390,187.00",0
Lotto 6/42,2018-11-01,39-12-26-30-16-10,"25,469,275.00",0
6D Lotto,2018-11-01,0-1-3-7-2-2,"1,754,285.92",0
Mega Lotto 6/45,2018-10-31,14-23-22-34-38-20,"29,252,461.00",0
Grand Lotto 6/55,2018-10-31,30-25-51-20-28-48,"63,990,603.00",0
4D Lotto,2018-10-31,5-2-2-5,"10,000.00",47
Ultra Lotto 6/58,2018-10-30,22-06-48-10-49-11,"49,500,000.00",0
Super Lotto 6/49,2018-10-30,09-42-19-15-25-48,"38,281,091.00",0
Lotto 6/42,2018-10-30,31-14-06-08-01-19,"23,414,708.00",0
6D Lotto,2018-10-30,1-8-5-1-9-2,"1,704,285.92",0
Mega Lotto 6/45,2018-10-29,39-25-07-36-31-03,"26,008,999.00",0
Grand Lotto 6/55,2018-10-29,44-51-20-35-17-03,"60,482,617.00",0
4D Lotto,2018-10-29,5-2-9-0,"81,910.00",10
Ultra Lotto 6/58,2018-10-28,08-34-45-20-36-16,"49,500,000.00",0
Super Lotto 6/49,2018-10-28,36-24-22-35-10-02,"36,026,413.00",0
Lotto 6/42,2018-10-27,03-21-41-05-15-01,"20,815,737.00",0
Grand Lotto 6/55,2018-10-27,50-19-03-16-46-26,"56,939,696.00",0
6D Lotto,2018-10-27,8-8-2-3-2-2,"1,514,588.16",0
Ultra Lotto 6/58,2018-10-26,38-15-04-03-41-50,"49,500,000.00",0
Mega Lotto 6/45,2018-10-26,03-38-37-02-25-10,"22,626,882.00",0
4D Lotto,2018-10-26,7-1-0-9,"34,037.00",20
Super Lotto 6/49,2018-10-25,28-03-02-34-19-31,"32,262,813.00",0
Lotto 6/42,2018-10-25,35-31-03-41-30-05,"17,361,135.00",0
6D Lotto,2018-10-25,1-5-1-4-7-8,"1,421,170.62",0
Mega Lotto 6/45,2018-10-24,31-23-32-16-42-13,"18,920,580.00",0
Grand Lotto 6/55,2018-10-24,51-50-38-26-03-16,"53,148,578.00",0
4D Lotto,2018-10-24,7-7-8-3,"55,213.00",16
Ultra Lotto 6/58,2018-10-23,07-26-43-08-53-06,"49,500,000.00",0
Super Lotto 6/49,2018-10-23,13-18-15-25-20-49,"28,498,624.00",0
Lotto 6/42,2018-10-23,20-29-27-31-03-19,"14,031,991.00",0
6D Lotto,2018-10-23,5-9-5-3-1-8,"1,319,085.32",0
Mega Lotto 6/45,2018-10-22,13-25-26-30-28-23,"15,558,048.00",0
Grand Lotto 6/55,2018-10-22,28-01-53-46-05-11,"49,368,944.00",0
4D Lotto,2018-10-22,9-6-8-2,"87,370.00",10
Ultra Lotto 6/58,2018-10-21,14-16-52-53-20-11,"49,500,000.00",0
Super Lotto 6/49,2018-10-21,47-45-32-08-03-11,"25,421,494.00",0
Lotto 6/42,2018-10-20,39-14-37-02-32-04,"10,928,187.00",0
Grand Lotto 6/55,2018-10-20,05-10-31-37-53-46,"45,516,177.00",0
6D Lotto,2018-10-20,9-4-2-2-1-2,"1,124,652.50",0
Ultra Lotto 6/58,2018-10-19,03-25-22-55-33-41,"49,500,000.00",0
Mega Lotto 6/45,2018-10-19,31-21-22-11-20-45,"12,074,963.00",0
4D Lotto,2018-10-19,2-1-6-7,"26,742.00",29
Super Lotto 6/49,2018-10-18,48-07-02-24-08-30,"21,383,593.00",0
Lotto 6/42,2018-10-18,39-18-08-16-17-01,"7,576,391.00",0
6D Lotto,2018-10-18,6-0-7-1-2-0,"1,074,652.50",0
Mega Lotto 6/45,2018-10-17,18-44-16-34-32-01,"8,910,000.00",0
Grand Lotto 6/55,2018-10-17,44-18-09-49-11-24,"41,389,580.00",0
4D Lotto,2018-10-17,3-5-0-7,"105,529.00",7
Ultra Lotto 6/58,2018-10-16,33-23-07-46-22-20,"49,500,000.00",0
Super Lotto 6/49,2018-10-16,20-48-21-36-33-09,"17,100,773.00",0
Lotto 6/42,2018-10-16,14-04-25-10-29-32,"5,940,000.00",0
6D Lotto,2018-10-16,8-0-8-7-3-9,"796,748.36",0
Mega Lotto 6/45,2018-10-15,40-37-27-10-28-07,"8,910,000.00",0
Grand Lotto 6/55,2018-10-15,50-11-10-19-45-13,"37,011,004.00",0
4D Lotto,2018-10-15,8-9-9-5,"52,326.00",16
Ultra Lotto 6/58,2018-10-14,40-50-37-25-01-45,"1,180,622,508.00",2
Super Lotto 6/49,2018-10-14,34-06-11-49-03-45,"15,840,000.00",0
Lotto 6/42,2018-10-13,06-34-40-10-32-02,"83,564,210.00",1
Grand Lotto 6/55,2018-10-13,35-36-21-42-38-54,"32,176,830.00",0
6D Lotto,2018-10-13,8-2-6-3-8-8,"505,391.26",0
Ultra Lotto 6/58,2018-10-12,28-14-54-50-17-27,"1,112,647,388.00",0
Mega Lotto 6/45,2018-10-12,23-26-12-10-36-30,"72,786,594.00",2
4D Lotto,2018-10-12,4-5-1-8,"15,505.00",22
Super Lotto 6/49,2018-10-11,18-10-15-03-19-46,"15,840,000.00",0
Lotto 6/42,2018-10-11,20-33-22-07-14-11,"74,387,638.00",0
6D Lotto,2018-10-11,2-7-5-8-2-5,"204,079.16",0
Mega Lotto 6/45,2018-10-10,43-31-28-37-32-22,"64,023,178.00",0
Grand Lotto 6/55,2018-10-10,34-12-37-16-13-19,"29,700,000.00",0
4D Lotto,2018-10-10,8-9-9-5,"30,379.00",26
Ultra Lotto 6/58,2018-10-09,12-16-46-03-38-36,"1,026,264,340.00",0
Super Lotto 6/49,2018-10-09,19-32-40-21-05-43,"97,384,918.00",1
Lotto 6/42,2018-10-09,33-11-32-29-12-18,"65,017,023.00",0
6D Lotto,2018-10-09,9-9-9-1-0-0,"150,000.00",1
Mega Lotto 6/45,2018-10-08,41-05-21-31-45-03,"56,250,597.00",0
Grand Lotto 6/55,2018-10-08,13-48-37-28-49-55,"29,700,000.00",0
4D Lotto,2018-10-08,4-4-9-8,"48,467.00",17
Ultra Lotto 6/58,2018-10-07,45-21-02-30-07-10,"954,503,164.00",0
Super Lotto 6/49,2018-10-07,13-22-24-30-49-14,"89,049,459.00",0
Lotto 6/42,2018-10-06,31-17-21-11-29-01,"58,521,550.00",0
Grand Lotto 6/55,2018-10-06,06-35-43-28-34-25,"29,700,000.00",0
6D Lotto,2018-10-06,1-5-3-0-1-4,"150,000.00",0
Ultra Lotto 6/58,2018-10-05,01-30-27-36-49-12,"903,290,152.00",0
Mega Lotto 6/45,2018-10-05,19-40-36-38-28-23,"49,482,881.00",0
4D Lotto,2018-10-05,7-2-7-1,"84,254.00",9
Super Lotto 6/49,2018-10-04,36-30-01-09-06-22,"80,369,745.00",0
Lotto 6/42,2018-10-04,26-28-02-29-35-27,"52,052,082.00",0
6D Lotto,2018-10-04,2-9-5-1-3-8,"2,004,655.00",1
Mega Lotto 6/45,2018-10-03,20-39-22-21-23-36,"43,022,114.00",0
Grand Lotto 6/55,2018-10-03,34-32-07-14-18-27,"29,700,000.00",0
4D Lotto,2018-10-03,1-6-0-6,"23,942.00",30
Ultra Lotto 6/58,2018-10-02,30-41-53-04-02-54,"849,578,320.00",0
Super Lotto 6/49,2018-10-02,14-20-15-21-36-05,"73,493,268.00",0
Lotto 6/42,2018-10-02,21-34-19-22-04-32,"46,598,259.00",0
6D Lotto,2018-10-02,3-2-2-3-7-2,"1,670,976.36",0
Mega Lotto 6/45,2018-10-01,14-09-18-26-17-11,"37,509,683.00",0
Grand Lotto 6/55,2018-10-01,51-15-29-19-52-06,"29,700,000.00",0
4D Lotto,2018-10-01,4-6-7-5,"35,954.00",22
Ultra Lotto 6/58,2018-09-30,34-30-32-20-03-23,"809,365,820.00",0
Super Lotto 6/49,2018-09-30,25-13-02-39-48-33,"67,816,683.00",0
Lotto 6/42,2018-09-29,37-03-24-09-02-12,"41,754,431.00",0
Grand Lotto 6/55,2018-09-29,04-29-03-38-32-53,"29,700,000.00",0
6D Lotto,2018-09-29,0-2-0-9-9-7,"1,493,461.34",0
Ultra Lotto 6/58,2018-09-28,46-25-55-26-50-57,"774,030,800.00",0
Mega Lotto 6/45,2018-09-28,27-12-05-29-04-15,"32,346,401.00",0
4D Lotto,2018-09-28,0-2-5-9,"34,055.00",19
Super Lotto 6/49,2018-09-27,36-01-04-26-18-21,"61,375,561.00",0
Lotto 6/42,2018-09-27,20-25-10-17-42-18,"36,922,993.00",0
6D Lotto,2018-09-27,4-9-2-8-4-3,"1,443,461.34",0
Mega Lotto 6/45,2018-09-26,20-29-28-26-35-01,"27,254,910.00",0
Grand Lotto 6/55,2018-09-26,34-09-28-24-19-42,"53,449,633.00",1
4D Lotto,2018-09-26,4-0-6-7,"56,807.00",12
Ultra Lotto 6/58,2018-09-25,50-21-51-19-53-48,"734,038,468.00",0
Super Lotto 6/49,2018-09-25,07-12-05-18-46-44,"55,964,344.00",0
Lotto 6/42,2018-09-25,19-42-14-08-22-09,"32,714,804.00",0
6D Lotto,2018-09-25,2-8-6-4-2-0,"1,196,904.06",0
Mega Lotto 6/45,2018-09-24,12-21-42-38-44-03,"23,549,570.00",0
Grand Lotto 6/55,2018-09-24,29-30-48-12-06-09,"49,134,627.00",0
4D Lotto,2018-09-24,9-3-2-6,"14,675.00",27
Ultra Lotto 6/58,2018-09-23,58-08-34-29-35-38,"704,720,320.00",0
Super Lotto 6/49,2018-09-23,18-43-32-21-30-31,"51,698,066.00",0
Lotto 6/42,2018-09-22,11-01-28-34-33-22,"29,101,344.00",0
Grand Lotto 6/55,2018-09-22,24-49-50-11-21-38,"45,213,134.00",0
6D Lotto,2018-09-22,1-4-9-8-8-9,"1,021,378.26",0
Ultra Lotto 6/58,2018-09-21,06-47-41-55-28-10,"679,409,304.00",0
Mega Lotto 6/45,2018-09-21,03-11-37-42-33-26,"20,027,803.00",0
4D Lotto,2018-09-21,6-4-5-1,"58,806.00",14
Super Lotto 6/49,2018-09-20,23-14-40-32-17-31,"46,791,159.00",0
Lotto 6/42,2018-09-20,15-32-16-07-09-24,"25,703,869.00",0
6D Lotto,2018-09-20,9-9-9-1-0-8,"747,593.26",0
Mega Lotto 6/45,2018-09-19,24-08-36-20-01-13,"16,145,673.00",0
Grand Lotto 6/55,2018-09-19,41-35-24-39-42-26,"41,480,537.00",0
4D Lotto,2018-09-19,8-9-1-5,"25,797.00",17
Ultra Lotto 6/58,2018-09-18,04-35-50-08-47-44,"650,886,268.00",0
Super Lotto 6/49,2018-09-18,16-20-15-43-07-17,"42,357,000.00",0
Lotto 6/42,2018-09-18,05-41-16-07-35-11,"22,309,033.00",0
6D Lotto,2018-09-18,4-6-7-8-3-2,"545,323.06",0
Mega Lotto 6/45,2018-09-17,29-30-07-16-17-14,"12,917,683.00",0
Grand Lotto 6/55,2018-09-17,19-32-29-39-02-17,"37,517,658.00",0
4D Lotto,2018-09-17,2-3-0-6,"17,134.00",43
Ultra Lotto 6/58,2018-09-16,34-15-39-53-36-43,"625,503,012.00",0
Super Lotto 6/49,2018-09-16,33-18-45-12-10-04,"38,562,504.00",0
Lotto 6/42,2018-09-15,17-38-39-37-42-24,"19,073,835.00",0
Grand Lotto 6/55,2018-09-15,37-32-39-43-55-38,"33,617,236.00",0
6D Lotto,2018-09-15,9-3-2-8-5-0,"216,573.44",0
Ultra Lotto 6/58,2018-09-14,52-32-55-17-07-40,"601,502,936.00",0
Mega Lotto 6/45,2018-09-14,24-10-45-01-16-42,"9,725,107.00",0
4D Lotto,2018-09-14,2-9-3-0,"10,000.00",99
Super Lotto 6/49,2018-09-13,06-24-48-37-29-22,"34,056,396.00",0
Lotto 6/42,2018-09-13,30-14-05-35-03-09,"16,361,271.00",0
6D Lotto,2018-09-13,4-0-7-4-3-4,"892,361.00",1
Mega Lotto 6/45,2018-09-12,33-10-19-03-09-20,"8,910,000.00",0
Grand Lotto 6/55,2018-09-12,03-36-52-20-26-33,"30,333,664.00",0
4D Lotto,2018-09-12,1-6-3-7,"23,750.00",33
Ultra Lotto 6/58,2018-09-11,33-30-03-43-18-19,"574,579,336.00",0
Super Lotto 6/49,2018-09-11,05-07-28-49-40-19,"29,696,646.00",0
Lotto 6/42,2018-09-11,17-31-14-02-38-21,"13,193,719.00",0
6D Lotto,2018-09-11,2-2-8-8-0-3,"579,386.78",0
Mega Lotto 6/45,2018-09-10,19-45-44-32-33-06,"8,910,000.00",0
Grand Lotto 6/55,2018-09-10,54-05-48-37-33-16,"29,700,000.00",0
4D Lotto,2018-09-10,2-6-9-0,"27,675.00",30
Ultra Lotto 6/58,2018-09-09,24-35-56-38-28-42,"551,720,748.00",0
Super Lotto 6/49,2018-09-09,23-08-21-05-27-47,"26,340,863.00",0
Lotto 6/42,2018-09-08,13-21-23-26-10-35,"10,399,883.00",0
Grand Lotto 6/55,2018-09-08,22-46-29-49-05-23,"29,700,000.00",0
6D Lotto,2018-09-08,2-1-0-6-3-4,"375,011.12",0
Ultra Lotto 6/58,2018-09-07,17-06-55-54-20-27,"528,487,576.00",0
Mega Lotto 6/45,2018-09-07,26-08-45-17-19-25,"40,063,895.00",1
4D Lotto,2018-09-07,9-8-8-8,"10,000.00",79
Super Lotto 6/49,2018-09-06,14-12-48-45-43-28,"22,099,256.00",0
Lotto 6/42,2018-09-06,37-15-13-01-06-04,"7,459,619.00",0
6D Lotto,2018-09-06,1-7-7-8-3-9,"274,474.42",0
Mega Lotto 6/45,2018-09-05,13-20-23-31-05-33,"35,553,209.00",0
Grand Lotto 6/55,2018-09-05,27-26-47-02-29-05,"29,700,000.00",0
4D Lotto,2018-09-05,5-8-2-7,"16,600.00",20
Ultra Lotto 6/58,2018-09-04,07-08-41-25-13-30,"503,330,392.00",0
Super Lotto 6/49,2018-09-04,19-01-38-39-44-43,"18,543,489.00",0
Lotto 6/42,2018-09-04,15-36-02-30-24-42,"5,940,000.00",0
6D Lotto,2018-09-04,0-9-1-9-0-2,"948,386.00",1
Mega Lotto 6/45,2018-09-03,06-11-39-12-15-27,"31,564,317.00",0
Grand Lotto 6/55,2018-09-03,37-55-48-54-31-15,"29,700,000.00",0
4D Lotto,2018-09-03,5-6-9-8,"34,511.00",22
Ultra Lotto 6/58,2018-09-02,41-51-28-30-54-24,"485,363,060.00",0
Super Lotto 6/49,2018-09-02,22-44-45-23-48-46,"15,840,000.00",0
Lotto 6/42,2018-09-01,36-13-10-06-03-14,"5,940,000.00",0
Grand Lotto 6/55,2018-09-01,16-28-29-20-30-26,"29,700,000.00",0
6D Lotto,2018-09-01,9-6-4-3-9-0,"898,386.26",0
Ultra Lotto 6/58,2018-08-31,03-30-38-19-54-07,"467,068,348.00",0
Mega Lotto 6/45,2018-08-31,14-25-43-01-05-42,"27,784,529.00",0
4D Lotto,2018-08-31,6-8-8-0,"65,526.00",12
Super Lotto 6/49,2018-08-30,12-25-30-02-34-24,"15,840,000.00",0
Lotto 6/42,2018-08-30,09-14-29-38-16-34,"6,839,027.00",1
6D Lotto,2018-08-30,5-8-2-2-2-8,"582,926.26",0
Mega Lotto 6/45,2018-08-29,07-17-15-13-36-08,"23,962,665.00",0
Grand Lotto 6/55,2018-08-29,37-49-28-12-32-10,"29,700,000.00",0
4D Lotto,2018-08-29,6-4-8-7,"72,994.00",11
Ultra Lotto 6/58,2018-08-28,28-29-08-40-33-04,"446,795,172.00",0
Super Lotto 6/49,2018-08-28,34-23-33-41-29-32,"15,840,000.00",0
Lotto 6/42,2018-08-28,22-04-07-13-24-18,"5,940,000.00",0
6D Lotto,2018-08-28,4-3-1-9-1-2,"532,926.26",0
Mega Lotto 6/45,2018-08-27,03-16-06-32-44-34,"20,727,729.00",0
Grand Lotto 6/55,2018-08-27,53-49-34-18-27-16,"29,700,000.00",0
4D Lotto,2018-08-27,9-4-5-9,"38,940.00",17
Ultra Lotto 6/58,2018-08-26,43-54-39-14-46-36,"432,811,540.00",0
Super Lotto 6/49,2018-08-26,43-30-42-11-28-47,"15,840,000.00",0
Lotto 6/42,2018-08-25,26-35-28-22-23-30,"5,940,000.00",0
Grand Lotto 6/55,2018-08-25,24-55-45-46-02-13,"29,700,000.00",0
6D Lotto,2018-08-25,4-0-7-4-3-7,"482,926.26",0
Ultra Lotto 6/58,2018-08-24,04-27-49-16-47-41,"420,202,552.00",0
Mega Lotto 6/45,2018-08-24,24-39-17-33-15-08,"17,980,416.00",0
4D Lotto,2018-08-24,8-6-8-9,"48,910.00",16
Super Lotto 6/49,2018-08-23,03-05-08-02-32-10,"15,840,000.00",0
Lotto 6/42,2018-08-23,15-13-16-01-36-22,"6,438,172.00",1
6D Lotto,2018-08-23,2-4-8-3-6-0,"158,073.88",0
Mega Lotto 6/45,2018-08-22,07-14-15-27-23-18,"15,006,543.00",0
Grand Lotto 6/55,2018-08-22,01-26-47-42-19-17,"62,454,158.00",1
4D Lotto,2018-08-22,2-0-2-8,"10,000.00",126
Ultra Lotto 6/58,2018-08-21,53-10-52-19-08-58,"406,162,932.00",0
Super Lotto 6/49,2018-08-21,29-17-09-19-28-04,"47,841,537.00",1
Lotto 6/42,2018-08-21,16-08-09-20-38-28,"5,940,000.00",0
6D Lotto,2018-08-21,7-9-0-8-5-8,"1,569,701.00",1
Mega Lotto 6/45,2018-08-20,34-20-28-17-31-16,"12,423,253.00",0
Grand Lotto 6/55,2018-08-20,44-54-08-20-28-30,"59,062,046.00",0
4D Lotto,2018-08-20,9-5-7-9,"91,723.00",8
Ultra Lotto 6/58,2018-08-19,16-17-15-05-23-54,"395,659,120.00",0
Super Lotto 6/49,2018-08-19,37-06-38-01-16-47,"45,120,977.00",0
Lotto 6/42,2018-08-18,34-06-25-38-14-01,"5,940,000.00",0
Grand Lotto 6/55,2018-08-18,29-54-35-14-19-27,"55,835,755.00",0
6D Lotto,2018-08-18,2-1-1-6-9-1,"1,519,701.62",0
Ultra Lotto 6/58,2018-08-17,43-19-36-17-07-44,"385,209,020.00",0
Mega Lotto 6/45,2018-08-17,29-23-24-37-20-41,"9,893,965.00",0
4D Lotto,2018-08-17,6-8-7-7,"169,179.00",4
Super Lotto 6/49,2018-08-16,47-30-03-06-04-18,"41,907,896.00",0
Lotto 6/42,2018-08-16,23-30-10-36-18-15,"22,741,821.00",2
6D Lotto,2018-08-16,8-1-9-3-9-6,"1,469,701.62",0
Mega Lotto 6/45,2018-08-15,44-40-02-10-39-32,"8,910,000.00",0
Grand Lotto 6/55,2018-08-15,14-54-07-09-51-10,"52,639,690.00",0
4D Lotto,2018-08-15,6-1-1-0,"10,467.00",26
Ultra Lotto 6/58,2018-08-14,16-43-31-44-18-37,"373,545,444.00",0
Super Lotto 6/49,2018-08-14,45-10-03-14-47-01,"38,791,788.00",0
Lotto 6/42,2018-08-14,36-08-39-26-30-32,"20,124,819.00",0
6D Lotto,2018-08-14,5-1-6-3-8-0,"1,305,840.08",0
Mega Lotto 6/45,2018-08-13,16-26-18-17-22-03,"8,910,000.00",0
